Date,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Precip Type,Summary,Temperature (C)_lag_1,Temperature (C)_lag_2,Temperature (C)_lag_3,Temperature (C)_lag_4,Temperature (C)_lag_5,Temperature (C)_lag_6,Temperature (C)_lag_7,temp_roll7_mean,temp_roll7_std
2006-01-07,0.8770833333333333,-0.7497685185185182,0.9358333333333334,6.589595833333334,102.04166666666667,4.585816666666667,1030.2237499999999,rain,Foggy,2.5504629629629636,2.703935185185186,2.2518518518518524,2.34050925925926,5.263194444444444,4.075,0.5777777777777773,2.8660052910052913,1.4108601870044217
2006-01-08,-1.2317129629629633,-2.8050925925925925,0.86875,5.397525000000001,113.91666666666667,8.694670833333333,1035.48125,snow,Clear,0.8770833333333333,2.5504629629629636,2.703935185185186,2.2518518518518524,2.34050925925926,5.263194444444444,4.075,2.1079034391534393,1.9684916629111364
2006-01-09,-1.693287037037037,-2.8400462962962965,0.7925,5.1137625,221.25,8.891225,1034.5425,snow,Partly Cloudy,-1.2317129629629633,0.8770833333333333,2.5504629629629636,2.703935185185186,2.2518518518518524,2.34050925925926,5.263194444444444,1.1141203703703706,1.8632279675925998
2006-01-10,-0.5326388888888888,-0.7606481481481482,0.8145833333333333,3.779475,296.875,7.562304166666667,946.8045833333334,snow,Mostly Cloudy,-1.693287037037037,-1.2317129629629633,0.8770833333333333,2.5504629629629636,2.703935185185186,2.2518518518518524,2.34050925925926,0.7036706349206352,1.864502355820724
2006-01-11,-1.392361111111111,-2.270601851851852,0.89875,5.115775,194.58333333333334,3.745933333333334,1032.3708333333334,snow,Mostly Cloudy,-0.5326388888888888,-1.693287037037037,-1.2317129629629633,0.8770833333333333,2.5504629629629636,2.703935185185186,2.2518518518518524,0.1830687830687833,1.8689352669376307
2006-01-12,-0.34189814814814795,-1.140509259259259,0.8841666666666667,4.613991666666667,157.0,4.045125,1035.07625,snow,Mostly Cloudy,-1.392361111111111,-0.5326388888888888,-1.693287037037037,-1.2317129629629633,0.8770833333333333,2.5504629629629636,2.703935185185186,-0.2520502645502644,1.5029436091863788
2006-01-13,-0.3571759259259253,-2.362731481481481,0.9237500000000001,6.6110625,258.25,2.6061875000000003,1037.4929166666666,snow,Foggy,-0.34189814814814795,-1.392361111111111,-0.5326388888888888,-1.693287037037037,-1.2317129629629633,0.8770833333333333,2.5504629629629636,-0.6674272486772486,0.8662410842312824
2006-01-14,-1.1347222222222222,-3.4120370370370368,0.8937499999999999,6.8284125,103.70833333333333,5.526995833333334,1037.0654166666666,snow,Mostly Cloudy,-0.3571759259259253,-0.34189814814814795,-1.392361111111111,-0.5326388888888888,-1.693287037037037,-1.2317129629629633,0.8770833333333333,-0.9548280423280422,0.5411251914731491
2006-01-15,-3.135648148148148,-5.774074074074075,0.8575,7.3382458333333345,54.458333333333336,7.837345833333334,1036.4783333333332,snow,Mostly Cloudy,-1.1347222222222222,-0.3571759259259253,-0.34189814814814795,-1.392361111111111,-0.5326388888888888,-1.693287037037037,-1.2317129629629633,-1.226818783068783,0.9931731277756869
2006-01-16,-3.639814814814814,-3.639814814814814,0.8183333333333334,2.543129166666667,190.41666666666666,9.799533333333335,1031.5133333333333,snow,Overcast,-3.135648148148148,-1.1347222222222222,-0.3571759259259253,-0.34189814814814795,-1.392361111111111,-0.5326388888888888,-1.693287037037037,-1.5048941798941797,1.3529001505062581
2006-01-17,-3.7761574074074074,-8.27037037037037,0.8954166666666667,12.578125,153.20833333333334,5.362641666666668,1024.19,snow,Overcast,-3.639814814814814,-3.135648148148148,-1.1347222222222222,-0.3571759259259253,-0.34189814814814795,-1.392361111111111,-0.5326388888888888,-1.9682539682539681,1.510655108825492
2006-01-18,1.9729166666666667,-1.3240740740740742,0.9275000000000001,12.553975000000001,226.20833333333334,6.258204166666666,1007.4770833333333,rain,Overcast,-3.7761574074074074,-3.639814814814814,-3.135648148148148,-1.1347222222222222,-0.3571759259259253,-0.34189814814814795,-1.392361111111111,-1.4875,2.1321263209775805
2006-01-19,-1.2391203703703706,-6.084722222222222,0.7941666666666666,17.628829166666666,306.2083333333333,11.276708333333334,1019.7545833333334,snow,Partly Cloudy,1.9729166666666667,-3.7761574074074074,-3.639814814814814,-3.135648148148148,-1.1347222222222222,-0.3571759259259253,-0.34189814814814795,-1.6156746031746032,2.0780625442459675
2006-01-20,-2.145601851851852,-4.600925925925925,0.8312499999999999,7.944679166666667,186.625,10.983554166666666,1026.86375,snow,Mostly Cloudy,-1.2391203703703706,1.9729166666666667,-3.7761574074074074,-3.639814814814814,-3.135648148148148,-1.1347222222222222,-0.3571759259259253,-1.8711640211640213,2.00624623347975
2006-01-21,0.7363425925925923,-1.4888888888888887,0.8604166666666666,7.846737500000001,199.16666666666666,9.97395,1020.5500000000001,rain,Mostly Cloudy,-2.145601851851852,-1.2391203703703706,1.9729166666666667,-3.7761574074074074,-3.639814814814814,-3.135648148148148,-1.1347222222222222,-1.6038690476190478,2.232590486911602
2006-01-22,-2.965509259259259,-8.841435185185185,0.8020833333333334,20.473833333333335,131.58333333333334,11.066066666666666,1024.99125,snow,Mostly Cloudy,0.7363425925925923,-2.145601851851852,-1.2391203703703706,1.9729166666666667,-3.7761574074074074,-3.639814814814814,-3.135648148148148,-1.5795634920634922,2.2139837106601497
2006-01-23,-11.469444444444443,-18.281944444444445,0.6816666666666666,15.694145833333335,16.291666666666668,12.421149999999999,1038.81375,snow,Overcast,-2.965509259259259,0.7363425925925923,-2.145601851851852,-1.2391203703703706,1.9729166666666667,-3.7761574074074074,-3.639814814814814,-2.6980820105820102,4.363062136311641
2006-01-24,-10.83472222222222,-12.575925925925924,0.7816666666666667,4.704554166666667,167.5,11.112354166666668,1043.5145833333333,snow,Clear,-11.469444444444443,-2.965509259259259,0.7363425925925923,-2.145601851851852,-1.2391203703703706,1.9729166666666667,-3.7761574074074074,-3.7064484126984127,5.35635004765244
2006-01-25,-9.775462962962964,-11.40486111111111,0.7845833333333333,4.5985625,184.04166666666666,8.248566666666667,1033.6266666666668,snow,Clear,-10.83472222222222,-11.469444444444443,-2.965509259259259,0.7363425925925923,-2.145601851851852,-1.2391203703703706,1.9729166666666667,-5.3847883597883595,5.115383499122099
2006-01-26,-7.934722222222223,-12.077083333333334,0.7075,9.180354166666667,91.16666666666667,10.9218375,1028.1845833333334,snow,Partly Cloudy,-9.775462962962964,-10.83472222222222,-11.469444444444443,-2.965509259259259,0.7363425925925923,-2.145601851851852,-1.2391203703703706,-6.34130291005291,4.828975893650937
2006-01-27,-6.629166666666666,-8.997685185185185,0.6887500000000001,6.3823083333333335,75.58333333333333,9.570779166666666,1031.5804166666667,snow,Partly Cloudy,-7.934722222222223,-9.775462962962964,-10.83472222222222,-11.469444444444443,-2.965509259259259,0.7363425925925923,-2.145601851851852,-6.981812169312169,4.463205919571259
2006-01-28,-3.4930555555555554,-4.881481481481481,0.7158333333333333,5.2714083333333335,77.95833333333333,8.2432,1031.7954166666666,snow,Mostly Cloudy,-6.629166666666666,-7.934722222222223,-9.775462962962964,-10.83472222222222,-11.469444444444443,-2.965509259259259,0.7363425925925923,-7.586011904761905,3.405078340314414
2006-01-29,0.48402777777777795,-2.18425925925926,0.6808333333333333,8.847620833333334,34.166666666666664,7.895708333333334,1031.14375,snow,Partly Cloudy,-3.4930555555555554,-6.629166666666666,-7.934722222222223,-9.775462962962964,-10.83472222222222,-11.469444444444443,-2.965509259259259,-7.0932208994709,4.313620791138777
